"BOROUGH","NEIGHBORHOOD","TYPE OF HOME","NUMBER OF SALES","LOWEST SALE PRICE","AVERAGE SALE PRICE","MEDIAN SALE PRICE","HIGHEST SALE PRICE","YEAR"
"5","RICHMONDTOWN-LIGHTHS HILL","01 ONE FAMILY DWELLINGS","9","$220,750","$1,017,944.222222222","$998,000","$1,625,000","2024"
"5","RICHMONDTOWN","02 TWO FAMILY DWELLINGS","7","$490,000","$843,142.7142857143","$890,000","$1,200,000","2024"
"5","RICHMONDTOWN","01 ONE FAMILY DWELLINGS","36","$320,694","$863,984.25","$852,500","$1,425,000","2024"
"5","PRINCES BAY","02 TWO FAMILY DWELLINGS","25","$240,000","$978,469.96","$965,000","$1,782,000","2024"
"5","PRINCES BAY","01 ONE FAMILY DWELLINGS","53","$330,057","$813,372","$760,000","$2,425,000","2024"
"5","PORT RICHMOND","02 TWO FAMILY DWELLINGS","34","$265,000","$612,242.1764705882","$617,500","$997,855","2024"
"5","PORT RICHMOND","01 ONE FAMILY DWELLINGS","66","$200,000","$522,123.9545454545","$540,000","$1,005,340","2024"
"5","PORT IVORY","02 TWO FAMILY DWELLINGS","6","$330,500","$636,694.1666666666","$662,500","$960,000","2024"
"5","PORT IVORY","01 ONE FAMILY DWELLINGS","8","$237,350","$353,418.75","$335,000","$575,000","2024"
"5","PLEASANT PLAINS","02 TWO FAMILY DWELLINGS","15","$350,000","$1,115,549.066666667","$1,175,000","$1,575,000","2024"
"5","PLEASANT PLAINS","01 ONE FAMILY DWELLINGS","20","$595,000","$848,629.95","$757,500","$1,320,000","2024"
"5","OAKWOOD-BEACH","02 TWO FAMILY DWELLINGS","5","$596,168","$798,633.6","$755,000","$1,075,000","2024"
"5","OAKWOOD-BEACH","01 ONE FAMILY DWELLINGS","31","$482,577","$708,333.4516129033","$690,000","$998,000","2024"
"5","OAKWOOD","02 TWO FAMILY DWELLINGS","3","$291,667","$728,153.6666666666","$900,000","$992,794","2024"
"5","OAKWOOD","01 ONE FAMILY DWELLINGS","36","$222,897","$717,388.6111111111","$726,500","$1,100,000","2024"
"5","NEW SPRINGVILLE","02 TWO FAMILY DWELLINGS","50","$200,000","$882,221.22","$915,000","$1,348,888","2024"
"5","NEW SPRINGVILLE","01 ONE FAMILY DWELLINGS","98","$452,946","$725,941.7857142857","$740,000","$975,000","2024"
"5","NEW DORP-HEIGHTS","02 TWO FAMILY DWELLINGS","10","$261,450","$881,295","$922,500","$1,450,000","2024"
"5","NEW DORP-HEIGHTS","01 ONE FAMILY DWELLINGS","58","$525,000","$854,063.724137931","$733,000","$3,800,000","2024"
"5","NEW DORP-BEACH","02 TWO FAMILY DWELLINGS","3","$775,000","$813,333.3333333334","$790,000","$875,000","2024"
"5","NEW DORP-BEACH","01 ONE FAMILY DWELLINGS","43","$205,320","$556,615.1162790698","$579,000","$985,000","2024"
"5","NEW DORP","02 TWO FAMILY DWELLINGS","25","$650,000","$930,762.8","$865,000","$1,435,733","2024"
"5","NEW DORP","01 ONE FAMILY DWELLINGS","62","$230,000","$774,324.3064516129","$784,500","$1,305,000","2024"
"5","NEW BRIGHTON-ST. GEORGE","02 TWO FAMILY DWELLINGS","1","$967,338","$967,338","$967,338","$967,338","2024"
"5","NEW BRIGHTON","03 THREE FAMILY DWELLINGS","6","$600,000","$844,166.6666666666","$890,000","$955,000","2024"
"5","NEW BRIGHTON","02 TWO FAMILY DWELLINGS","41","$420,000","$839,418.512195122","$620,000","$3,600,000","2024"
"5","NEW BRIGHTON","01 ONE FAMILY DWELLINGS","42","$280,000","$515,144.2857142857","$517,000","$715,000","2024"
"5","MIDLAND BEACH","02 TWO FAMILY DWELLINGS","31","$282,000","$854,193.6129032258","$908,000","$1,310,000","2024"
"5","MIDLAND BEACH","01 ONE FAMILY DWELLINGS","110","$221,052","$601,276.4454545454","$636,500","$939,800","2024"
"5","MARINERS HARBOR","03 THREE FAMILY DWELLINGS","2","$290,000","$621,250","$621,250","$952,500","2024"
"5","MARINERS HARBOR","02 TWO FAMILY DWELLINGS","45","$260,000","$665,414.1333333333","$650,000","$1,064,071","2024"
"5","MARINERS HARBOR","01 ONE FAMILY DWELLINGS","89","$240,000","$517,065.1011235955","$518,000","$867,000","2024"
"5","MANOR HEIGHTS","02 TWO FAMILY DWELLINGS","12","$250,000","$779,805.8333333334","$785,000","$1,170,000","2024"
"5","MANOR HEIGHTS","01 ONE FAMILY DWELLINGS","47","$440,000","$772,978.7234042553","$725,000","$1,750,000","2024"
"5","LIVINGSTON","02 TWO FAMILY DWELLINGS","4","$773,870","$859,435","$796,935","$1,070,000","2024"
"5","LIVINGSTON","01 ONE FAMILY DWELLINGS","11","$340,000","$617,338.9090909091","$610,000","$955,000","2024"
"5","HUGUENOT","02 TWO FAMILY DWELLINGS","28","$850,000","$1,143,482.678571429","$1,155,000","$1,550,000","2024"
"5","HUGUENOT","01 ONE FAMILY DWELLINGS","43","$405,600","$919,525.5813953489","$828,000","$1,950,000","2024"
"5","GRYMES HILL","02 TWO FAMILY DWELLINGS","4","$332,000","$592,152.75","$527,000","$982,611","2024"
"5","GRYMES HILL","01 ONE FAMILY DWELLINGS","21","$431,000","$982,947.619047619","$755,000","$2,650,000","2024"
"5","GREAT KILLS-BAY TERRACE","02 TWO FAMILY DWELLINGS","11","$361,000","$864,768.1818181818","$892,000","$1,175,000","2024"
"5","GREAT KILLS-BAY TERRACE","01 ONE FAMILY DWELLINGS","22","$316,600","$659,504.5454545454","$666,000","$980,000","2024"
"5","GREAT KILLS","02 TWO FAMILY DWELLINGS","84","$250,000","$926,520.6428571428","$900,000","$1,780,919","2024"
"5","GREAT KILLS","01 ONE FAMILY DWELLINGS","271","$220,000","$685,960.1439114391","$668,000","$2,240,150","2024"
"5","GRASMERE","02 TWO FAMILY DWELLINGS","6","$765,000","$920,999.8333333334","$951,500","$999,999","2024"
"5","GRASMERE","01 ONE FAMILY DWELLINGS","35","$300,000","$734,993.9142857143","$688,000","$1,250,000","2024"
"5","GRANT CITY","02 TWO FAMILY DWELLINGS","14","$531,803","$882,858.1428571428","$830,000","$1,470,000","2024"
"5","GRANT CITY","01 ONE FAMILY DWELLINGS","35","$262,500","$760,897.2285714286","$675,000","$3,235,000","2024"
"5","EMERSON HILL","02 TWO FAMILY DWELLINGS","1","$975,000","$975,000","$975,000","$975,000","2024"
"5","EMERSON HILL","01 ONE FAMILY DWELLINGS","14","$580,000","$996,500","$931,500","$1,520,000","2024"
"5","ELTINGVILLE","02 TWO FAMILY DWELLINGS","38","$339,922","$892,790.7631578947","$913,550","$1,313,543","2024"
