id,host_id,price,reply time,guest favourite,host since,room_type,host total listings count,consumer,total reviewers number,accommodates,bathrooms,bedrooms,beds,listing number,host response rate,host acceptance rate,sales,price_log,city_Amsterdam,city_Dublin,city_Hongkong,city_Munich,city_NewYork,city_Singapore,city_Toronto,city_berlin,city_sydney,city_taipei,city_tokyo,area_Asia,area_Europe,area_North America,consumer_missing_flag,host_experience_days,property_size_category
49679,1157301,299.0,1.0,1,1970-01-01 00:00:00.000004613,3,1,6.67,177,5,0.0,0,3,1,1.0,1.0,277,5.703782474656201,False,False,False,True,False,False,False,False,False,False,False,False,True,False,1,20410,Studio
49680,140741186,150.0,0.0,0,1970-01-01 00:00:00.000002481,2,1,6.67,4,2,0.0,0,1,1,0.0,0.0,277,5.017279836814924,False,False,False,True,False,False,False,False,False,False,False,False,True,False,1,20410,Studio
49681,478174184,209.0,0.0,0,1970-01-01 00:00:00.000000605,3,1,6.67,1,2,0.0,0,3,1,0.0,1.0,0,5.3471075307174685,False,False,False,True,False,False,False,False,False,False,False,False,True,False,1,20410,Studio
49682,400276047,198.0,1.0,0,1970-01-01 00:00:00.000001091,3,1,6.67,2,4,0.0,0,4,1,1.0,0.0,344,5.293304824724492,False,False,False,True,False,False,False,False,False,False,False,False,True,False,1,20410,Studio
49683,255373112,135.0,1.0,0,1970-01-01 00:00:00.000001846,3,2,6.67,0,2,0.0,0,2,2,1.0,0.57,278,4.912654885736052,False,False,False,True,False,False,False,False,False,False,False,False,True,False,1,20410,Studio
49684,95249956,91.0,0.0,0,1970-01-01 00:00:00.000002785,3,1,6.67,4,3,0.0,0,1,1,0.33,0.33,192,4.5217885770490405,False,False,False,True,False,False,False,False,False,False,False,False,True,False,1,20410,Studio
49685,46921878,450.0,1.0,1,1970-01-01 00:00:00.000003117,3,2,6.67,2,8,0.0,0,4,7,0.8,0.99,314,6.111467339502679,False,False,False,True,False,False,False,False,False,False,False,False,True,False,1,20410,Studio
49686,22834354,70.0,1.0,0,1970-01-01 00:00:00.000003479,2,3,6.67,0,2,0.0,0,0,3,0.92,0.51,254,4.2626798770413155,False,False,False,True,False,False,False,False,False,False,False,False,True,False,1,20410,Studio
49687,150264652,165.0,0.0,0,1970-01-01 00:00:00.000002423,2,1,6.67,15,2,0.0,0,1,1,0.0,1.0,350,5.111987788356544,False,False,False,True,False,False,False,False,False,False,False,False,True,False,1,20410,Studio
49688,68300657,76.0,1.0,0,1970-01-01 00:00:00.000002932,2,3,6.67,17,1,0.0,0,1,4,1.0,0.81,1,4.343805421853684,False,False,False,True,False,False,False,False,False,False,False,False,True,False,1,20410,Studio
49689,279436134,85.0,1.0,0,1970-01-01 00:00:00.000001741,3,1,6.67,7,2,0.0,0,1,1,1.0,1.0,346,4.454347296253507,False,False,False,True,False,False,False,False,False,False,False,False,True,False,1,20410,Studio
